id,title,authors,abstract,year,keywords,citations
140,"Span Detection for Legal Document QA","Edith Cross; Omar Yassine","Describes improved span prediction accuracy for LLM-based QA on legal PDF/JSON corpora.",2023,"Span Detection;QA;Legal;PDF",12
141,"Microbatch Processing for Streaming Analytics","J. Alvarez; Leanne Marsh","Microbatch windowing protocols and their impact on streaming analytics cost, throughput, and latency.",2022,"Microbatch;Streaming;Analytics;Latency",15
142,"End-to-End Benchmark of OCR Backends","Luca Romero; P. Avery","Head-to-head evaluation of ABBYY, Tesseract, and Azure OCR for image, PDF, and scan-to-text.",2023,"OCR;Benchmark;Image;PDF;Scan",8
143,"Direct Audio-to-Text Model Serving","N. Mohammed; F. Iqbal","Robust serving for audio transcription APIs using end-to-end neural ASR models.",2024,"ASR;Audio;Transcription;End-to-End",12
144,"AI-Optimized Data Center Power Forecasts","T. Kenney; G. Sousa","ML forecasts of data center energy usage integrating weather, calendar, demand, and real-time metrics.",2023,"Data Center;Power;Forecast;ML",11
145,"Entity Graph Construction in Biomedical Corpora","M. Zheng; S. Akana","Automated methods for building bio-entity knowledge graphs from journal PDFs and genomic datasets.",2022,"Biomedical;Entity Graph;Knowledge;PDF",14
146,"Detecting Model Stealing in SaaS APIs","Jaime Tan; O. Becker","New metrics and protocols for identifying sequential query attacks on public ML APIs and SaaS endpoints.",2024,"Model Stealing;Security;API;SaaS",10
147,"CloudOps Incident Playbook Automation","April Goto; Jamal Noor","How to automate incident response playbooks and automate cross-team notifications in CloudOps using Go.",2023,"CloudOps;Incident Response;Automation;Go",13
148,"Adaptive JSON Field Selection for Analytics","Z. Bell; Sean Kip","Smart selection of JSON fields improves analytics speed and storage in cloud-native reporting.",2022,"JSON;Field Selection;Analytics;Cloud",8
149,"Tracking Data Provenance in ETL DAGs","Maya Richards; B. Keith","Presents methods for tracking source-to-sink data provenance in visualized ETL pipeline DAGs.",2024,"Data Provenance;ETL;Tracking;DAG",7
150,"Cross-Dialect SQL Parsing for ETL Compliance","Ernesto Peña; Lisa Singh","SQL parser harmonizes queries from Postgres, MySQL, and MSSQL for standardized audit and ETL jobs.",2023,"SQL;Parsing;Compliance;ETL",12
151,"Streaming JSON Parser Benchmarks in Go","Brady Knott; Sara Munoz","Evaluates various streaming JSON parsing techniques for ingestion of financial tick data in Go.",2022,"Streaming;JSON;Parser;Go;Benchmark",10
152,"Entity Matching in Noisy Product Catalogs","Ines Duarte; E. Hegde","Presents fuzzy-matching algorithms for reconciling product entities across unstructured CSVs.",2023,"Entity Matching;Product Catalog;CSV;Fuzzy;Unstructured",11
153,"Regression Baselines for Real-World Demand Forecasting","Matias Stein; Y. Volkov","Benchmarks ARIMA, Prophet, and XGBoost across retail, power, and server workloads; provides real forecast deviation numbers.",2022,"Regression;Forecasting;Baseline;Retail;Power",8
154,"Low-Latency Monitoring for Stream Processors","K. Yu; Stefan Ionescu","Design and implementation of distributed monitoring tools for <2-second detection of streaming errors.",2024,"Monitoring;Streaming;Processor;Low Latency",9
155,"Dynamic Sampling for High-Traffic API Logs","Gerald Lin; Hyo Kim","Adaptive weighted sampling of event streams for cost-effective analysis in SaaS APIs.",2023,"Sampling;API;Logs;High Traffic;Cost",15
156,"Neural Code Search with API Usage Context","Omkar Rao; J. Bright","Describes code search system using neural embeddings informed by API call signatures in Go, Python, and JS.",2024,"Code Search;Neural;API;Go;Python;JS",10
157,"String Interning in Large-Scale Search Indexes","Roberto Fuchs; Isla Yoon","Quantifies the speed and size tradeoffs of various string interning strategies in full-text indexer implementations.",2023,"String Interning;Search Index;Performance;Text",12
158,"Explainable Privacy Risk Labels for PDF Exports","Sara Kim; Flavio Lorca","Automatic labeling for privacy risk propagation on PDF export in banking and legal reporting flows.",2022,"Explainable AI;Privacy;PDF;Banking",8
159,"Bayesian Time Series Anomaly Correction","Hans Schmidt; U. Velasco","Presents bayesian anomaly smoothing/correction to clean system metric time series for root cause troubleshooting.",2023,"Bayesian;Anomaly;Time Series;Correction",7
160,"GPU Batching for Near-Real-Time Inference","Lauren Rios; Felix Zhu","Demonstrates tuning batch size for throughput and latency in GPU inferencing for impulse response models.",2022,"GPU;Batching;Inference;Latency;Impulse",14
161,"Synthetic Benchmark Generators for QA","J. Duran; Anna Foster","Toolkit to generate, evaluate, and rank synthetic question/answer datasets for retriever/reader pipelines.",2023,"Synthetic;QA;Dataset;Benchmark",8
162,"Hybrid Explainability in Recommender Systems","R. Liao; D. Star","Mix of local and global explainers for recommendations in news, streaming, and e-commerce platforms.",2024,"Explainability;Recommender;Global;Local;Platforms",13
163,"Proactive Query Optimization with User Feedback","Toufic Sayegh; Kristina Park","Recommender-integrated SQL optimizer leverages explicit query/user feedback in SaaS analytics.",2023,"Query Optimization;SQL;Recommender;Feedback;SaaS",11
164,"Robust PDF Table Detection via Anchor Networks","Alex Gill; Isela Huerta","Benchmarks anchor-based neural networks on table zone detection in weakly-labeled financial PDFs.",2022,"PDF;Table Detection;Anchor Network;Finance",9
165,"On-Device Learning for Mobile Resumes","J. Delgado; Petra Kos","Compressed federated learning for on-device document parsing and scoring in mobile job search apps.",2023,"Federated Learning;On-Device;Document Parsing;Mobile",14
166,"Probabilistic Deduplication for Long-Term Logs","Noah Bell; Lucia Cruz","Hashing and probabilistic data structure methods for deduplicating multi-decade event logs in cloud apps.",2022,"Deduplication;Logs;Probabilistic;Hashing",11
167,"Open-Set Recognition in Biomedical NLP","Rosa Fischer; Sean Myers","Benchmarks models for emerging/unknown entity detection in clinical trial records and genome literature.",2023,"Open-Set;Recognition;Biomedical;NLP",8
168,"Meta-Learning for Small Data QA","Urs Zeller; Katie Field","Explores meta-learned initialization and transfer for low-resource QA tasks in scientific domains.",2024,"Meta-Learning;QA;Transfer;Small Data",9
169,"Continuous Control in High-Frequency Trading Sims","Ivan Popov; L. Morrison","RL-based market maker bots tested on physics-inspired high-frequency simulation frameworks.",2023,"RL;Trading;Simulation;Market Making",10
170,"Differentiable PDF Rendering Engine","Qing Tao; Minerva Ruiz","Neural PDF rendering with gradient support for text/image layouting and e-signature audit.",2022,"PDF;Differentiable;Rendering;Audit",13
171,"Elasticsearch vs. Go-based Custom Indexers","B. Rogers; V. Uday","Head-to-head on ingest/search performance, cost, and memory profile for two enterprise engines at scale.",2023,"Elasticsearch;Go;Indexers;Performance;Cost",17
172,"Prompt Injection Defenses for LLM SaaS","M. Agrawal; Zora Burns","Evaluates prompt defense methods and monitors for SaaS-facing LLM agents in production.",2024,"Prompt Injection;LLM;SaaS;Defense",12
173,"Latent Factor Analysis for Retail Price Optimization","Eva Martinez; O. Grant","Matrix and factorization techniques to optimize cross-store price adjustments using transaction PDFs.",2022,"Latent Factors;Price Optimization;Retail;Matrix",8
174,"Hybrid Vector/Text Search for E-Discovery","Sam Tan; L. Baron","Combines dense and sparse retrieval for legal e-discovery and compliance in enterprise document vaults.",2023,"Vector Search;Text Search;Sparse;Dense;Legal",11
175,"ML-Powered Test Case Generation for APIs","Dania Giannopoulos; C. Morales","Automates REST API fuzzing and test case generation using learned coverage feedback.",2023,"Testing;API;Fuzzing;ML;Automation",10
176,"Stable Pretraining Regimes for Tiny Models","Jorge Colon; D. Hsiao","Investigates successful pretraining for very-low parameter inference models; relevant to edge analytics.",2022,"Pretraining;Tiny Model;Edge;Stability",13
177,"Anomaly Sensitive Index Repair Strategies","Olga Vesely; Greg Power","Automated repair for search indices after alerts or detected anomalies, with interface for human approval.",2023,"Index Repair;Anomaly Detection;Automation;Human Approval",10
178,"Systematic Bias Analysis in Health Data ML","Anna Behrens; Lily Kim","Surveys methods to discover/correct for systematic bias in hospital EMR and insurance PDFs.",2024,"Bias;Health Data;Correction;EMR",7
179,"Rapid Doc-Type Classification For Mixed Batches","S. Lee; Carla Diaz","Describes multi-head models to flag doc type (invoice, resume, contract, etc.) in massive ingestion pipelines.",2022,"Doc Type;Classification;Batch;Invoice;Resume",8
180,"Session Demographics Linking from Event Streams","G. Cavalli; Noemi Lebeau","Pipeline to infer user demographics from partial, distributed event logs in entertainment/retail products.",2024,"Demographics;Event Stream;User Linking;Pipeline",12
181,"JSON-to-Relational Mapping For Pipeline Ingestion","L. Kraus; Tobias Braun","Describes a stable pipeline for normalizing unpredictable JSON structures into relational DB storage at scale.",2023,"JSON;Relational;Normalization;Pipeline",14
182,"Document Similarity Ranking for PDF Repositories","Ola Fuchs; Umberto Bassani","Benchmarks classic vector, BERT, and TFIDF similarity for mixed-topic PDF ranking.",2022,"Document Similarity;PDF;Vector;BERT;Ranking",10
183,"Auto-Summary for Customer Complaint PDFs","Erica Lin; Joann Ross","GenAI-driven complaint auto-summarization and context pruning for call center practice.",2023,"Summarization;PDF;Complaints;Call Center",12
184,"Multi-scale Time-Series Models for Predictive Maintenance","D. Gallardo; Kate Fisher","Compares LSTM, GRU, CNN for multi-scale sensor signal prognosis in heavy industry settings.",2023,"Time-Series;Predictive Maintenance;LSTM;CNN;GRU",11
185,"Vector Search for Streaming Sensor Logs","Harold Cho; L. Wu","Describes real-time embedding-based similarity ranking for billions of sensor records in manufacturing.",2024,"Streaming;Sensor;Vector Search;Manufacturing",13
186,"Cloud Integration for ETL Audit Logging","J. Maurer; Wendy Kim","Cloud-native protocol for multi-tenant ETL pipeline audit trace collection.",2023,"Audit;ETL;Cloud Integration;Trace",8
187,"Stealth Fingerprinting Attacks Against PDF Security","Mohammed Saleh; F. Wilz","Experimental exploits leverage vulnerabilities in PDF rendering to de-anonymize source document origins.",2024,"Security;PDF;Fingerprinting;Attack",6
188,"Active Entity Linking with Human Correction Flows","Ana Pineda; J. Sauer","Interactive entity linker combines ML and user correction flows on legal/crm text and scanned tables.",2022,"Entity Linking;Active Learning;Correction;CRMS",11
189,"Session-Free Personalization in Search Apps","Noura Kassem; P. Kumar","Non-user modeling techniques personalize search results in privacy-focused apps with zero explicit id/session.",2023,"Personalization;Search;Session-Free;Privacy",14
190,"LLM Agent Orchestration at Massive Scale","H. Thompson; Y. Zhang","Comprehensive performance log analysis from end-to-end LLM agent orchestration in multi-vendor serving setups.",2022,"LLM;Orchestration;Multi-Vendor;Performance",17
191,"Benchmarking Tokenizer Speed in PDF Processing","Emiko Abe; S. Del Toro","Evaluates different tokenization and segmentation algorithms for PDF batch ingestion pipelines.",2023,"PDF;Tokenizer;Speed;Batching;Segmentation",7
192,"SQL Query Synthesis from Natural Language","Yash Patel; Farida Connolly","Presents an end-to-end solution for query synthesis from NL using transformers and in-context ex.",2024,"SQL Synthesis;Natural Language;Transformer;In-Context",9
193,"Semantic Table Extraction in Annual Reports","Matteo Costa; Sofia You","Using ensemble learning for extracting 10k+ table layouts from multi-format annual report PDFs.",2023,"Table Extraction;PDF;Ensemble;Annual Report",8
194,"PDF Scan Quality Detection for ML Intake","Devin Wood; O. Romero","Method for flagging unreadable or poor-quality scans for better ML ingest reliability.",2022,"PDF;Scan;Quality;Reliability;ML",7
195,"Ethical Review Criteria in Clinical AI","M. Herrera; K. Nunes","Standardizes review criteria and scoring for ethical approval of patient-facing AI application trials.",2024,"Ethics;Clinical AI;Review;Approval",12
196,"Outlier Explanation for NLP Text Analytics","Patrick Snow; Lina Roldan","Clustering, scoring, and visualization of outlier sentences/documents in massive text analytics workflows.",2023,"NLP;Text Analytics;Outlier;Visualization",10
197,"Dynamic Vector Sharding for Distributed Inference","Yu Yamamoto; Anjali Banerjee","Compares vector sharding strategies for scaling batch LLM inference with multi-node GPU clusters.",2022,"Vector Sharding;LLM;Inference;GPU",13
198,"Legal Citation Network Graph Construction","R. Saito; Joshua Lee","Automates reference network graphing for legal citation and law review HTML/PDF corpora.",2023,"Citation;Graph;Legal;HTML;PDF",8
199,"Automated Note Redaction for Health PDFs","Vanessa Stone; Elodie Bonnet","Auto-redacts PII and sensitive data in health PDF intake based on regex and neural classifiers.",2024,"Redaction;PII;Health;PDF;Neural",10
200,"ML Model Drift Tracking for Compliance Audits","Julio Perez; Emma Hu","Defines audit protocols and dashboard for detecting and tracking ML drift over years in regulated pipelines.",2024,"Drift;Audit;Compliance;ML;Tracking",9
